Model,Agent,Success,Precision,Recall,Efficiency,Cost,Latency,Total Tasks,Cost/Success ($)
gemini-2.5-flash-preview-09-2025,Multi-Tool,0.8,1.0,0.4166666666666667,1.0,0.525457,85.38446011543274,20,0.0328410625
gemini-2.5-flash-preview-09-2025,No-Tool,0.9,1.0,1.0,1.0,0.00647,7.248875880241394,10,0.0007188888888888889
gemini-2.5-flash-preview-09-2025,Single-Tool,0.7,0.5,0.5,1.0,0.011696999999999999,7.333193373680115,10,0.001671
gpt-4o-mini,Multi-Tool,0.25,1.0,0.4166666666666667,1.0,0.159595,11.07785360813141,20,0.031918999999999996
gpt-4o-mini,No-Tool,1.0,1.0,1.0,1.0,0.0013475,4.272238755226136,10,0.00013475
gpt-4o-mini,Single-Tool,0.5,0.5,0.5,1.0,0.0044405,7.9684419393539425,10,0.0008881
